Name, time, alt, az
STARLINK-1361           , 2020-06-05 03:02:00+01:00, 53.49, 315.38
STARLINK-1376           , 2020-06-05 03:02:00+01:00, 61.81, 30.72
STARLINK-1360           , 2020-06-05 03:02:00+01:00, 63.36, 347.37
STARLINK-1367           , 2020-06-05 03:03:00+01:00, 63.52, 26.47
STARLINK-1366           , 2020-06-05 03:03:00+01:00, 62.82, 342.82
STARLINK-1291           , 2020-06-05 03:04:00+01:00, 39.63, 156.09
STARLINK-43             , 2020-06-05 03:05:00+01:00, 64.80, 87.73
STARLINK-1268           , 2020-06-05 03:05:00+01:00, 37.14, 158.98
STARLINK-1264           , 2020-06-05 03:07:00+01:00, 41.05, 157.28
STARLINK-1316           , 2020-06-05 03:07:00+01:00, 36.06, 175.93
STARLINK-75             , 2020-06-05 03:08:00+01:00, 50.34, 159.06
STARLINK-1257           , 2020-06-05 03:08:00+01:00, 37.94, 170.46
STARLINK-1256           , 2020-06-05 03:09:00+01:00, 39.19, 165.30
STARLINK-1267           , 2020-06-05 03:10:00+01:00, 42.63, 160.85
STARLINK-1213           , 2020-06-05 03:10:00+01:00, 40.25, 161.32
STARLINK-1263           , 2020-06-05 03:11:00+01:00, 41.18, 155.59
STARLINK-1259           , 2020-06-05 03:12:00+01:00, 41.82, 149.30
STARLINK-1265           , 2020-06-05 03:13:00+01:00, 40.76, 131.53
STARLINK-1285           , 2020-06-05 03:13:00+01:00, 42.07, 143.23
STARLINK-1283           , 2020-06-05 03:15:00+01:00, 50.43, 169.95
STARLINK-1296           , 2020-06-05 03:15:00+01:00, 41.48, 131.10
STARLINK-1207           , 2020-06-05 03:16:00+01:00, 44.68, 172.14
STARLINK-1260           , 2020-06-05 03:16:00+01:00, 40.57, 124.93
STARLINK-1318           , 2020-06-05 03:16:00+01:00, 40.98, 179.94
STARLINK-22             , 2020-06-05 03:17:00+01:00, 45.10, 128.35
STARLINK-1275           , 2020-06-05 03:17:00+01:00, 42.87, 175.02
STARLINK-1274           , 2020-06-05 03:18:00+01:00, 44.44, 130.95
STARLINK-1309           , 2020-06-05 03:18:00+01:00, 44.38, 170.20
STARLINK-1338           , 2020-06-05 03:18:00+01:00, 62.85, 319.57
STARLINK-1266           , 2020-06-05 03:19:00+01:00, 46.18, 175.14
STARLINK-1282           , 2020-06-05 03:19:00+01:00, 45.81, 164.57
STARLINK-1313           , 2020-06-05 03:20:00+01:00, 48.88, 177.96
STARLINK-1279           , 2020-06-05 03:21:00+01:00, 51.11, 168.94
STARLINK-1284           , 2020-06-05 03:22:00+01:00, 46.77, 181.32
STARLINK-1298           , 2020-06-05 03:22:00+01:00, 47.72, 142.18
STARLINK-1293           , 2020-06-05 03:23:00+01:00, 47.32, 134.98
STARLINK-1255           , 2020-06-05 03:25:00+01:00, 45.15, 121.65
STARLINK-1301           , 2020-06-05 03:26:00+01:00, 51.28, 184.69
STARLINK-1258           , 2020-06-05 03:26:00+01:00, 49.28, 125.31
STARLINK-1371           , 2020-06-05 03:26:00+01:00, 70.60, 346.47
STARLINK-1292           , 2020-06-05 03:29:00+01:00, 52.43, 129.83
STARLINK-1341           , 2020-06-05 03:30:00+01:00, 72.24, 356.61
STARLINK-42             , 2020-06-05 03:34:00+01:00, 60.56, 217.33
STARLINK-1029           , 2020-06-05 03:34:00+01:00, 36.25, 165.43
STARLINK-1374           , 2020-06-05 03:34:00+01:00, 73.40, 4.72
STARLINK-48             , 2020-06-05 03:35:00+01:00, 38.32, 160.25
STARLINK-1289           , 2020-06-05 03:35:00+01:00, 58.81, 143.50
STARLINK-1303           , 2020-06-05 03:38:00+01:00, 61.51, 157.07
STARLINK-1339           , 2020-06-05 03:38:00+01:00, 74.53, 11.55
STARLINK-1312           , 2020-06-05 03:41:00+01:00, 62.65, 174.03
STARLINK-34             , 2020-06-05 03:42:00+01:00, 46.69, 123.78
STARLINK-62             , 2020-06-05 03:42:00+01:00, 47.03, 185.95
STARLINK-1377           , 2020-06-05 03:42:00+01:00, 75.24, 354.80
STARLINK-1311           , 2020-06-05 03:43:00+01:00, 66.62, 196.38
STARLINK-41             , 2020-06-05 03:44:00+01:00, 75.44, 120.64
STARLINK-1353           , 2020-06-05 03:46:00+01:00, 76.64, 356.25
STARLINK-1375           , 2020-06-05 03:50:00+01:00, 78.62, 13.31
STARLINK-1262           , 2020-06-05 03:52:00+01:00, 31.05, 152.26
STARLINK-55             , 2020-06-05 03:53:00+01:00, 74.43, 267.26
STARLINK-26             , 2020-06-05 03:54:00+01:00, 77.47, 62.90
STARLINK-1350           , 2020-06-05 03:54:00+01:00, 79.52, 351.73
STARLINK-1300           , 2020-06-05 03:57:00+01:00, 33.10, 153.30
STARLINK-1352           , 2020-06-05 03:58:00+01:00, 79.61, 333.65
STARLINK-29             , 2020-06-05 04:02:00+01:00, 41.14, 206.24
STARLINK-1295           , 2020-06-05 04:02:00+01:00, 35.41, 151.98
STARLINK-1368           , 2020-06-05 04:02:00+01:00, 78.46, 315.84
STARLINK-1299           , 2020-06-05 04:03:00+01:00, 41.00, 158.39
STARLINK-28             , 2020-06-05 04:05:00+01:00, 60.72, 54.71
STARLINK-1369           , 2020-06-05 04:06:00+01:00, 76.15, 301.72
STARLINK-1287           , 2020-06-05 04:07:00+01:00, 37.76, 151.75
STARLINK-1372           , 2020-06-05 04:10:00+01:00, 72.85, 291.93
